,nombre_candidato,partido_coalicion,propuestas_general
0,ADRIANA SOFIA SANCHEZ SCOTT,FUERZA POR MÉXICO,"Escuela obligatoria para todos los niños, apoyar a estudiantes de preparatoria a llegar a la universidad hasta  licenciarse.Apoyar/Reactivar económica y socialmente a las mujeres, madres solteras, micro emprendedores, (becas, microcréditos, estancias infantiles, etc.)Derechos de las Mujeres, madres solteras y niños desprotegidos."
1,ALBERTO MANUEL ATHIE GALLO,MOVIMIENTO CIUDADANO,Llevar una agenda ciudadana al Congreso y trabajar para ser un representante legislativo de la ciudadanía mexicana en el órgano legislativo.Recuperar el contrapeso democrático de la Cámara de Diputados.ATENCIÓN AL DESARROLLO INTEGRAL DE INFANTES EN SITUACIÓN DE CAPACIDAD INTELECTUAL ESPECIAL.
2,ALEIDA ALAVEZ RUIZ,MORENA,"IMPULSAR LA CREACIÓN DEL CÓDIGO NACIONAL DE  PROCEDIMIENTOS CIVILES Y FAMILIARES PARA AGILIZAR  TRÁMITES SOBRE PROCESOS DE INTESTADOS, SUCESIONES  TESTAMENTARIAS, ADOPCIONES, DIVORCIOS, PENSIONES  ALIMENTICIAS, Y GUARDIA Y CUSTODIA, ENTRE OTROS.REFORMAS AL CÓDIGO CIVIL Y LA LEY DEL ISR PARA  AVANZAR EN LA REGULARIZACIÓN DE LA TENENCIA DE  LA TIERRA Y DAR CERTEZA JURÍDICA AL PATRIMONIO  FAMILIAR.Promover leyes que defiendan la igualdad de género."
3,ALEJANDRO DANIEL PEREZ CORZO,MOVIMIENTO CIUDADANO,"Un Congreso al servicio de los ciudadanos.Proteger desde el Congreso las libertades democráticas.RECONOCIMIENTO DE LA PARTERÍA TRADICIONAL, DERECHO A LA TENENCIA DE LA TIERRA PARA MUJERES INDÍGENAS."
4,ALEJANDRO OLIVOS CANSECO,REDES SOCIALES PROGRESISTAS,"Reactivar y potencializar la economía de las micro, pequeñas y medianas empresas.Mejoramiento de salarios de los sectores : Educación, salud y seguridad.Que existan leyes que sean de no discriminación."
5,ALEJANDRO OROZCO HERNANDEZ,REDES SOCIALES PROGRESISTAS,"Que las campañas políticas no le cuesten a los ciudadanos, que estas sean en redes sociales.Que los Diputados ganen lo que trabajan de acuerdo a las iniciativas que presenten.Promover reformas a los lineamientos que orientan la participación política de las mujeres en materia de violencia de género, que garanticen las sanciones a quienes incumplan"
6,ALEJANDRO ROSALES MIRANDA,REDES SOCIALES PROGRESISTAS,"Propuesta sector educativo.  Solicitar al gobierno que absorba los costos del Dictamen de Seguridad y Operación durante la reactivación de las escuelas. (Ley de Seguridad Estructural) (Nueva 2019).SECTOR SALUD  Propuesta.  La llegada de la pandemia por COVID-19 dejó ver el déficit de personal médico y de equipamiento especial que existe en los Centros de Salud, tales como el IMSS y el ISSSTE.  Por esta razón, se plantea incrementar la oferta académica a través del programa de Préstamos Federales Estudiantiles (Filer) para que jóvenes logren obtener una especialización en el área de salud.   Así, la ciudadanía en general gozará de un servicio de salud más amplio al contar con más médicos y enfermeras. Además de aumentar el número de equipos médicos que contribuyan con el tratamiento de los pacientes.Que haya el mismo trato para todos sin distinción, que quienes optan por otra sexualidad sean respetados sin que ello obligue a que las otras personas se sientan obligados a cambiar su propia decisión. En el respeto está la inclusión y tolerancia."
7,ALFONSO RAMIREZ CUELLAR,MORENA,"Mejorar la Seguridad Pública. La ciudadanía sufre de manera constante la inseguridad, una gran parte de la población ha experimentado algún tipo de delito. En la alcaldía de Tlalpan, los índices delictivos se encuentran por arriba de la  de la Ciudad, y los habitantes consideran a este como el principal problema social.  Por ello, se requiere tomar acciones efectivas. Sin embargo, la inseguridad no es un tema que se pueda combatir de manera aislada. Se requiere, en primer lugar, de una colaboración cercana entre los tres niveles de gobierno, para coordinar acciones más eficaces que combatan a grupos delincuenciales. En segundo lugar, es indispensable continuar con la profesionalización de nuestras policías. A pesar de que estas funciones se encuentran centralizadas por el gobierno de la Ciudad, tanto las alcaldías como el gobierno Federal pueden contribuir en la materia. En tercer lugar, se requiere de la apropiación de los espacios públicos, que incentiven una convivencia social más sana y reduzcan la posibilidad de que los jóvenes se involucren en actividades delincuenciales.Contribuir a que haya agua potable para todos. Es necesario implementar diversas acciones para garantizar el derecho humano al agua, entre ellas, se requiere idear innovadores esquemas de colaboración entre sectores y niveles de gobierno, buscando una mejor distribución   La zona de Tlalpan es rica en captación pluvial, pero no existen mecanismos de recolección de agua adecuados, por lo que se observa un desaprovechamiento. Asimismo, se requiere una mejor distribución, para todas las zonas. A través de la inversión en infraestructura se podría mejorar dicha situación. Sin embargo, dada la escasez de recursos es indispensable buscar alianzas.  Además de las acciones concretas, desde la Cámara de Diputados propondré iniciativas para asegurar el acceso al agua y hacer más efectivo el cumplimiento de lo establecido en el artículo 4 de la Constitución Política de los Estados Unidos Mexicanos."
8,ALFREDO ADAME VON KNOOP,REDES SOCIALES PROGRESISTAS,"Implementar programas de seguridad para minimizar sustancialmente el problema de la inseguridad.Buscar programas que permitan a la juventud convertirse en ciudadanos de bien, profesionistas y lograr sus metas.Derechos de las Mujeres Indígenas, madres solteras y niños desprotegidos."
9,ANA CECILIA LUISA GABRIELA FERNANDA SODI MIRANDA,VA POR MEXICO,"La protección y promoción de los derechos fundamentales, el respeto del catálogo de los derechos humanos es la base en la que se cimentá un gobierno democrático por lo que es prioritario para una refundación de las instituciones y de nuestra vida democrática. Promover, proteger, defender el pleno ejercicio de los derechos culturales reconociéndolos como eje fundamental en la elaboración de planes de gobierno y en implementación de políticas públicas dotándoles de mecanismo de exigibilidad. Garantizar el respeto de la libertad creativa en espacios públicos para artistas y trabajadores de la cultura. Fortalecer las áreas e instancias del sector y planear desde una visión transversal de derechos culturales donde todas las áreas de gobierno se sientan involucradas. Presentar las denuncias por violación de los derechos culturales, la libertad de expresión y los derechos laborales de artistas, público y ciudadanos ante las instituciones protectoras de los derechos humanos, suprema corte de justicia de la nación y corte interamericano de derechos humanos. Hacer efectivo el ejercicio del derecho a la participación de los colectivos, organizaciones y agrupaciones culturales así como de los sectores social y privado, como lo establece la Constitución. Involucrar a la diversidad de actores sociales y culturales en la elaboración, evaluación y seguimiento de las políticas culturales. Fortalecer el vínculo educación y cultura. Promover y proponer un régimen fiscal para la Cultura.Destinar mayor presupuesto para la profesionalización y capacitación de los agentes garantes de la seguridad. Revisar y destinar mayor presupuesto para optimización y expansión de equipos de vigilancia y seguridad urbana. Establecer recursos para instalar nuevos sistemas de alumbrado público. Prever el presupuesto para sistemas de monitoreo, alarmas de pánico y comunicación vecinal con autoridades.CREO QUE LA MEJOR PROPUESTA EN ESTE SENTIDO ES LA IGUALDAD, LA EQUIDAD Y EL RESPETO , CUALQUIER GESTION QUE HAGA O HAGAMOS SERA EN BENEFICIO DE TODAS Y TODOS."
